TeamId,TeamName,SubmissionDate,Score
166877,Jim932,"2015-04-14 00:13:20",0.69608
166882,Mathn,"2015-04-14 00:16:43",0.69608
166882,Mathn,"2015-04-14 00:20:20",0.74706
166884,NxGTR,"2015-04-14 00:29:02",0.49468
166885,oconnoda,"2015-04-14 00:30:32",0.59338
166885,oconnoda,"2015-04-14 00:39:02",0.78512
166894,Estelle,"2015-04-14 00:42:28",0.69608
166895,BarryPolley,"2015-04-14 00:43:21",0.49468
166895,BarryPolley,"2015-04-14 00:46:19",0.74706
166897,BrianJL,"2015-04-14 00:46:49",0.69608
166897,BrianJL,"2015-04-14 00:49:48",0.74393
166877,Jim932,"2015-04-14 00:56:56",0.74706
166894,Estelle,"2015-04-14 00:57:27",0.74706
166897,BrianJL,"2015-04-14 01:22:44",0.75911
166897,BrianJL,"2015-04-14 01:24:01",0.77775
166919,Gino,"2015-04-14 01:29:33",0.69608
166930,605883732,"2015-04-14 01:41:30",0.69608
166933,Mario,"2015-04-14 01:48:05",0.69608
166932,Saikiran,"2015-04-14 01:52:40",0.69608
166933,Mario,"2015-04-14 01:53:09",0.74706
166913,"L. Youseff","2015-04-14 01:54:35",0.69608
166932,Saikiran,"2015-04-14 01:56:43",0.74706
166924,mattglibota,"2015-04-14 01:57:41",0.78317
166942,Halvard,"2015-04-14 02:00:05",0.69608
166941,"Ryan Kuhn","2015-04-14 02:03:26",0.50000
166913,"L. Youseff","2015-04-14 02:04:03",0.70130
166905,persona03,"2015-04-14 02:05:24",0.50000
166944,egil137,"2015-04-14 02:06:57",0.86868
166946,ErikO,"2015-04-14 02:09:31",0.90548
166945,Revan,"2015-04-14 02:12:19",0.78317
166916,"Ian in Tasmania","2015-04-14 02:16:57",0.74706
166951,"Ian T.","2015-04-14 02:17:54",0.58408
166952,blue1278,"2015-04-14 02:23:36",0.69608
166945,Revan,"2015-04-14 02:30:59",0.90502
166913,"L. Youseff","2015-04-14 02:33:04",0.70359
166957,Odessa,"2015-04-14 02:34:12",0.92212
166919,Gino,"2015-04-14 02:42:49",0.90683
166905,persona03,"2015-04-14 02:44:05",0.76748
166945,Revan,"2015-04-14 02:45:22",0.91716
166970,"Tahir Naveed","2015-04-14 02:47:02",0.73214
166970,"Tahir Naveed","2015-04-14 02:49:54",0.75060
166924,mattglibota,"2015-04-14 02:50:27",0.78512
166884,NxGTR,"2015-04-14 02:53:59",0.49987
166976,"PointsNorth ","2015-04-14 02:57:57",0.69608
166980,"Jose Zevallos","2015-04-14 03:02:16",0.69608
166989,"Wat Hughes","2015-04-14 03:18:54",0.49468
166976,"PointsNorth ","2015-04-14 03:23:30",0.74706
166989,"Wat Hughes","2015-04-14 03:26:42",0.69608
166994,"Bill Seliger","2015-04-14 03:30:36",0.69608
166994,"Bill Seliger","2015-04-14 03:38:47",0.87316
166976,"PointsNorth ","2015-04-14 03:40:41",0.79357
166994,"Bill Seliger","2015-04-14 03:41:21",0.88892
166951,"Ian T.","2015-04-14 03:46:13",0.60265
166919,Gino,"2015-04-14 03:47:15",0.91097
166980,"Jose Zevallos","2015-04-14 03:49:35",0.88892
166941,"Ryan Kuhn","2015-04-14 03:56:01",0.87401
166951,"Ian T.","2015-04-14 03:58:20",0.83057
167003,Kicke,"2015-04-14 03:59:15",0.70394
166941,"Ryan Kuhn","2015-04-14 04:23:02",0.87769
167003,Kicke,"2015-04-14 04:23:41",0.82312
167021,HamsterHuey,"2015-04-14 04:25:04",0.90327
167018,"Alexander Solum","2015-04-14 04:34:01",0.69608
167041,hbezyr,"2015-04-14 05:06:06",0.69608
166922,cuttlefish,"2015-04-14 05:11:36",0.69608
167051,"Scott Rowland","2015-04-14 05:26:12",0.90502
167056,"Salil ramani","2015-04-14 05:32:09",0.49468
167003,Kicke,"2015-04-14 05:32:31",0.88941
167018,"Alexander Solum","2015-04-14 05:39:34",0.74706
167056,"Salil ramani","2015-04-14 05:40:07",0.74706
167057,"Timothy Stuart Banks","2015-04-14 05:41:00",0.69608
167013,snark1100,"2015-04-14 05:44:24",0.86668
166922,cuttlefish,"2015-04-14 05:45:49",0.90502
167063,Bisaria,"2015-04-14 05:46:00",0.69608
167068,yhw82,"2015-04-14 05:53:25",0.69608
167074,"Ian Hellstrom","2015-04-14 05:58:06",0.69608
167057,"Timothy Stuart Banks","2015-04-14 05:58:12",0.74706
167078,"Gayatri Mahesh","2015-04-14 06:05:23",0.74706
167069,Saransh,"2015-04-14 06:06:49",0.86376
167081,"Gregory Cann","2015-04-14 06:07:22",0.74706
167074,"Ian Hellstrom","2015-04-14 06:10:38",0.74706
167085,"Luis Argerich","2015-04-14 06:14:45",0.90630
167016,BobTheCanadian,"2015-04-14 06:14:49",0.90470
167084,"Kishore B","2015-04-14 06:22:01",0.69608
167088,"Isaac Yauri","2015-04-14 06:22:26",0.69608
167088,"Isaac Yauri","2015-04-14 06:33:01",0.87316
167088,"Isaac Yauri","2015-04-14 06:36:17",0.87385
167016,BobTheCanadian,"2015-04-14 06:36:52",0.90973
167092,jadianes,"2015-04-14 06:39:22",0.74706
167097,"Rahul Garg","2015-04-14 06:49:43",0.69608
166913,"L. Youseff","2015-04-14 06:50:44",0.90036
167096,CrestwoodNZ,"2015-04-14 06:50:52",0.69608
167098,samvars,"2015-04-14 06:55:14",0.87385
166882,Mathn,"2015-04-14 07:05:22",0.81981
167096,CrestwoodNZ,"2015-04-14 07:09:35",0.74706
167109,Sarvottam,"2015-04-14 07:11:43",0.49468
167108,chumazing,"2015-04-14 07:13:07",0.69206
167109,Sarvottam,"2015-04-14 07:14:39",0.69608
166882,Mathn,"2015-04-14 07:17:58",0.88200
167110,Terje,"2015-04-14 07:18:16",0.73117
167118,GeethaJ,"2015-04-14 07:21:42",0.90358
167113,Rodrigo,"2015-04-14 07:26:38",0.69608
167109,Sarvottam,"2015-04-14 07:27:26",0.74706
167119,manoj1123,"2015-04-14 07:30:05",0.69608
167108,chumazing,"2015-04-14 07:34:25",0.86668
167018,"Alexander Solum","2015-04-14 07:44:53",0.88917
166995,"Sanjeev Malhotra","2015-04-14 07:45:10",0.90764
